timestamp,lat,lon,alt,heading_deg
2026-04-15 16:51:45.882164,39.737624971666676,-84.17647540833333,241.0349,192.377
2026-04-15 16:51:45.889785,39.737624971666676,-84.17647540833333,241.0349,192.377,0.008,0.005,0.015
2026-04-15 16:51:45.897046,39.737624951793855,-84.17647544807896,241.04185548489667,192.377,0.008,0.005,0.015
2026-04-15 16:51:45.904152,39.737624951793855,-84.17647544807896,241.04185548489667,192.163,0.008,0.005,0.015
2026-04-15 16:51:45.910173,39.737624951793855,-84.17647544807896,241.04185548489667,192.163,0.011,0.007,0.022
2026-04-15 16:51:45.917071,39.73762496683114,-84.17647542728534,241.0321607796947,192.163,0.011,0.007,0.022
2026-04-15 16:51:45.923718,39.73762496683114,-84.17647542728534,241.0321607796947,193.967,0.011,0.007,0.022
2026-04-15 16:51:45.929589,39.73762496683114,-84.17647542728534,241.0321607796947,193.967,0.018,0.012,0.037
2026-04-15 16:51:45.936318,39.737624994371444,-84.17647543850649,241.02791534092157,193.967,0.018,0.012,0.037
2026-04-15 16:51:45.942472,39.737624994371444,-84.17647543850649,241.02791534092157,193.244,0.018,0.012,0.037
2026-04-15 16:51:45.948040,39.737624994371444,-84.17647543850649,241.02791534092157,193.244,0.016,0.011,0.034
2026-04-15 16:51:45.954809,39.737624999124705,-84.17647543491631,241.02963895801298,193.244,0.016,0.011,0.034
2026-04-15 16:51:45.961203,39.737624999124705,-84.17647543491631,241.02963895801298,193.309,0.016,0.011,0.034
2026-04-15 16:51:45.966810,39.737624999124705,-84.17647543491631,241.02963895801298,193.309,0.015,0.01,0.032
2026-04-15 16:51:45.973539,39.73762499565724,-84.17647543553583,241.03213394412148,193.309,0.015,0.01,0.032
2026-04-15 16:51:45.979719,39.73762499565724,-84.17647543553583,241.03213394412148,193.006,0.015,0.01,0.032
2026-04-15 16:51:45.985085,39.73762499565724,-84.17647543553583,241.03213394412148,193.006,0.012,0.008,0.025
2026-04-15 16:51:45.991413,39.73762498811562,-84.17647543571604,241.03400900395934,193.006,0.012,0.008,0.025
2026-04-15 16:51:45.997989,39.73762498811562,-84.17647543571604,241.03400900395934,192.96,0.012,0.008,0.025
2026-04-15 16:51:46.003976,39.73762498811562,-84.17647543571604,241.03400900395934,192.96,0.012,0.007,0.024
2026-04-15 16:51:46.010724,39.73762498192587,-84.17647543513472,241.03575916252132,192.96,0.012,0.007,0.024
2026-04-15 16:51:46.017558,39.73762498192587,-84.17647543513472,241.03575916252132,192.969,0.012,0.007,0.024
2026-04-15 16:51:46.023381,39.73762498192587,-84.17647543513472,241.03575916252132,192.969,0.012,0.008,0.024
2026-04-15 16:51:46.030130,39.73762497837668,-84.17647543555633,241.03699040949562,192.969,0.012,0.008,0.024
2026-04-15 16:51:46.037231,39.73762497837668,-84.17647543555633,241.03699040949562,192.986,0.012,0.008,0.024
2026-04-15 16:51:46.042881,39.73762497837668,-84.17647543555633,241.03699040949562,192.986,0.012,0.007,0.024
2026-04-15 16:51:46.049660,39.737624980009585,-84.17647543282587,241.03763049562275,192.986,0.012,0.007,0.024
2026-04-15 16:51:46.056258,39.737624980009585,-84.17647543282587,241.03763049562275,192.781,0.012,0.007,0.024
2026-04-15 16:51:46.061641,39.737624980009585,-84.17647543282587,241.03763049562275,192.781,0.012,0.008,0.024
2026-04-15 16:51:46.068148,39.73762498213384,-84.17647543732865,241.03599235619072,192.781,0.012,0.008,0.024
2026-04-15 16:51:46.074669,39.73762498213384,-84.17647543732865,241.03599235619072,192.933,0.012,0.008,0.024
2026-04-15 16:51:46.080418,39.73762498213384,-84.17647543732865,241.03599235619072,192.933,0.011,0.007,0.024
2026-04-15 16:51:46.086791,39.737624992186596,-84.17647544100588,241.03403521474428,192.933,0.011,0.007,0.024
2026-04-15 16:51:46.093074,39.737624992186596,-84.17647544100588,241.03403521474428,192.274,0.011,0.007,0.024
2026-04-15 16:51:46.098456,39.737624992186596,-84.17647544100588,241.03403521474428,192.274,0.01,0.006,0.02
2026-04-15 16:51:46.105089,39.73762500119979,-84.17647544111863,241.03315883277511,192.274,0.01,0.006,0.02
2026-04-15 16:51:46.111659,39.73762500119979,-84.17647544111863,241.03315883277511,192.194,0.01,0.006,0.02
2026-04-15 16:51:46.117680,39.73762500119979,-84.17647544111863,241.03315883277511,192.194,0.008,0.005,0.015
2026-04-15 16:51:46.124724,39.73762500650755,-84.17647544251331,241.0320974722542,192.194,0.008,0.005,0.015
2026-04-15 16:51:46.131047,39.73762500650755,-84.17647544251331,241.0320974722542,192.224,0.008,0.005,0.015
2026-04-15 16:51:46.136762,39.73762500650755,-84.17647544251331,241.0320974722542,192.224,0.008,0.005,0.015
2026-04-15 16:51:46.143709,39.737625008984914,-84.17647544337024,241.0309493995115,192.224,0.008,0.005,0.015
2026-04-15 16:51:46.151155,39.737625008984914,-84.17647544337024,241.0309493995115,192.245,0.008,0.005,0.015
2026-04-15 16:51:46.157948,39.737625008984914,-84.17647544337024,241.0309493995115,192.245,0.008,0.005,0.015
2026-04-15 16:51:46.165970,39.737625013795494,-84.17647544336506,241.03029824003042,192.245,0.008,0.005,0.015
2026-04-15 16:51:46.174415,39.737625013795494,-84.17647544336506,241.03029824003042,192.292,0.008,0.005,0.015
2026-04-15 16:51:46.180605,39.737625013795494,-84.17647544336506,241.03029824003042,192.292,0.008,0.005,0.015
2026-04-15 16:51:46.187210,39.737625011488134,-84.17647544470785,241.02939594282017,192.292,0.008,0.005,0.015
2026-04-15 16:51:46.193652,39.737625011488134,-84.17647544470785,241.02939594282017,192.302,0.008,0.005,0.015
2026-04-15 16:51:46.199365,39.737625011488134,-84.17647544470785,241.02939594282017,192.302,0.008,0.005,0.015
2026-04-15 16:51:46.205885,39.73762500737309,-84.17647544518165,241.02961863830882,192.302,0.008,0.005,0.015
2026-04-15 16:51:46.212238,39.73762500737309,-84.17647544518165,241.02961863830882,192.365,0.008,0.005,0.015
2026-04-15 16:51:46.217547,39.73762500737309,-84.17647544518165,241.02961863830882,192.365,0.008,0.005,0.015
2026-04-15 16:51:46.224349,39.737625000901126,-84.17647544771118,241.02920782426222,192.365,0.008,0.005,0.015
2026-04-15 16:51:46.230752,39.737625000901126,-84.17647544771118,241.02920782426222,192.473,0.008,0.005,0.015
2026-04-15 16:51:46.236295,39.737625000901126,-84.17647544771118,241.02920782426222,192.473,0.008,0.004,0.015
2026-04-15 16:51:46.242877,39.737625000161664,-84.17647544904223,241.0292945601648,192.473,0.008,0.004,0.015
2026-04-15 16:51:46.249354,39.737625000161664,-84.17647544904223,241.0292945601648,192.28,0.008,0.004,0.015
2026-04-15 16:51:46.254794,39.737625000161664,-84.17647544904223,241.0292945601648,192.28,0.008,0.005,0.015
2026-04-15 16:51:46.261265,39.73762500599032,-84.17647734020403,241.0158485650824,192.28,0.008,0.005,0.015
2026-04-15 16:51:46.267660,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.008,0.005,0.015
2026-04-15 16:51:46.273665,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.289135,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.305071,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.320795,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.336565,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.352953,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.369491,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.386294,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.403467,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.420920,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.438889,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.457957,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
2026-04-15 16:51:46.476027,39.73762500599032,-84.17647734020403,241.0158485650824,156.321,0.009,0.004,0.015
